14:42:40.874830,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:41.933585,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:42.942160,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:43.953379,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:44.962755,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:45.969778,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:46.985675,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:47.998376,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:49.009845,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:50.021294,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:51.029035,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:52.040253,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:53.050804,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:54.059536,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:55.065693,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:56.074204,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:57.084638,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:58.093093,some_latitude,N/S,some_longitude,E/W,some_speed
14:42:59.105907,some_latitude,N/S,some_longitude,E/W,some_speed
14:43:00.114945,some_latitude,N/S,some_longitude,E/W,some_speed
14:43:01.125087,3546.6266,N,7844.6897,W,1.650
14:43:02.135695,3546.6349,N,7844.6874,W,1.070
14:43:03.146352,3546.6394,N,7844.6935,W,0.870
14:43:04.155846,3546.6399,N,7844.6860,W,0.650
14:43:05.332946,3546.6433,N,7844.6830,W,0.390
